Año,Entidad,Ley,Concepto,Tipo,Total
2012,Coahuila de Zaragoza,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,23.0
2012,Coahuila de Zaragoza,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,5.0
2012,Coahuila de Zaragoza,Codigo penal federal,Otros delitos,Contra la integridad corporal,21.0
2012,Coahuila de Zaragoza,Codigo penal federal,Otros delitos,Electorales,87.0
2012,Coahuila de Zaragoza,Codigo penal federal,Otros delitos,En materia de derechos de autor,8.0
2012,Coahuila de Zaragoza,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",37.0
2012,Coahuila de Zaragoza,Codigo penal federal,Otros delitos,Patrimoniales,346.0
2012,Coahuila de Zaragoza,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,18.0
2012,Coahuila de Zaragoza,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,267.0
2012,Colima,Codigo penal federal,Contra la salud,Produccion,13.0
2012,Colima,Codigo penal federal,Contra la salud,Transporte,2.0
2012,Colima,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Colima,Codigo penal federal,Contra la salud,Comercio,12.0
2012,Colima,Codigo penal federal,Contra la salud,Suministro,1.0
2012,Colima,Codigo penal federal,Contra la salud,Posesion,55.0
2012,Colima,Codigo penal federal,Contra la salud,Otros,34.0
2012,Colima,Codigo penal federal,Otros delitos,Cometidos por servidores publicos,11.0
2012,Colima,Codigo penal federal,Otros delitos,Contra el ambiente y la gestion ambiental,21.0
2012,Colima,Codigo penal federal,Otros delitos,Contra la integridad corporal,0.0
2012,Colima,Codigo penal federal,Otros delitos,Electorales,24.0
2012,Colima,Codigo penal federal,Otros delitos,En materia de derechos de autor,4.0
2012,Colima,Codigo penal federal,Otros delitos,"Falsedad, titulo decimo tercero",25.0
2012,Colima,Codigo penal federal,Otros delitos,Patrimoniales,111.0
2012,Colima,Codigo penal federal,Otros delitos,Vias de comunicacion y correspondencia,8.0
2012,Colima,Codigo penal federal,Otros delitos,Otros delitos del c.p.f.,88.0
2012,Chiapas,Codigo penal federal,Contra la salud,Produccion,11.0
2012,Chiapas,Codigo penal federal,Contra la salud,Transporte,46.0
2012,Chiapas,Codigo penal federal,Contra la salud,Trafico,0.0
2012,Chiapas,Codigo penal federal,Contra la salud,Comercio,65.0
2012,Chiapas,Codigo penal federal,Contra la salud,Suministro,0.0
2012,Chiapas,Codigo penal federal,Contra la salud,Posesion,56.0
2012,Chiapas,Codigo penal federal,Contra la salud,Otros,162.0
