Año,ile,Entidad
2009,6.02,Chiapas
2009,6.29,Chihuahua
2009,5.32,Ciudad de México
2009,5.94,Durango
2009,5.95,Guanajuato
2009,5.85,Guerrero
2009,5.98,Hidalgo
2009,6.38,Jalisco
2009,6.48,México
2009,6.18,Michoacán de Ocampo
2009,6.26,Morelos
2009,6.09,Nayarit
2009,6.19,Nuevo León
2009,6.12,Oaxaca
2009,6.2,Puebla
2009,6.12,Querétaro
2009,6.21,Quintana Roo
2009,6.13,San Luis Potosí
2009,6.15,Sinaloa
2009,6.16,Sonora
2009,5.94,Tabasco
2009,5.8,Tamaulipas
2009,6.24,Tlaxcala
2009,6.07,Veracruz de Ignacio de la Llave
2009,6.04,Yucatán
2009,6.01,Zacatecas
2010,6.04,Aguascalientes
2010,6.38,Baja California
2010,5.91,Baja California Sur
2010,5.87,Campeche
2010,5.93,Coahuila de Zaragoza
2010,5.62,Colima
2010,6.06,Chiapas
2010,6.06,Chihuahua
2010,5.38,Ciudad de México
2010,5.92,Durango
2010,5.88,Guanajuato
2010,5.85,Guerrero
2010,6.01,Hidalgo
2010,6.43,Jalisco
2010,6.52,México
2010,6.08,Michoacán de Ocampo
2010,6.24,Morelos
2010,6.05,Nayarit
2010,6.18,Nuevo León
2010,6.15,Oaxaca
2010,6.31,Puebla
2010,6.06,Querétaro
2010,6.25,Quintana Roo
2010,6.12,San Luis Potosí
2010,6.15,Sinaloa
2010,6.01,Sonora
2010,5.93,Tabasco
2010,5.78,Tamaulipas
2010,6.21,Tlaxcala
2010,6.03,Veracruz de Ignacio de la Llave
2010,6.05,Yucatán
2010,5.92,Zacatecas
2011,5.87,Aguascalientes
2011,6.44,Baja California
2011,6.01,Baja California Sur
2011,5.87,Campeche
2011,5.76,Coahuila de Zaragoza
2011,5.6,Colima
2011,6.07,Chiapas
2011,5.99,Chihuahua
2011,5.4,Ciudad de México
2011,5.92,Durango
2011,5.88,Guanajuato
2011,5.76,Guerrero
2011,5.95,Hidalgo
2011,6.39,Jalisco
2011,6.54,México
2011,6.02,Michoacán de Ocampo
2011,6.19,Morelos
2011,6.04,Nayarit
2011,6.18,Nuevo León
2011,6.1,Oaxaca
2011,6.2,Puebla
2011,6.22,Querétaro
2011,6.16,Quintana Roo
2011,6.08,San Luis Potosí
2011,6.12,Sinaloa
2011,6.05,Sonora
2011,5.99,Tabasco
2011,5.85,Tamaulipas
2011,6.21,Tlaxcala
2011,5.99,Veracruz de Ignacio de la Llave
2011,6.0,Yucatán
2011,5.89,Zacatecas
2012,6.08,Aguascalientes
2012,6.48,Baja California
2012,6.05,Baja California Sur
2012,5.85,Campeche
2012,5.82,Coahuila de Zaragoza
2012,5.57,Colima
2012,6.08,Chiapas
2012,5.88,Chihuahua
2012,5.32,Ciudad de México
2012,5.89,Durango
2012,6.32,Guanajuato
2012,6.15,Guerrero
2012,6.02,Hidalgo
2012,6.36,Jalisco
2012,6.48,México
