Price,Fecha
7.8895,1996-11-01
7.97,1996-10-01
7.535,1996-09-01
7.58,1996-08-01
7.585,1996-07-01
7.585,1996-06-01
7.47,1996-05-01
7.415,1996-04-01
7.529,1996-03-01
7.61,1996-02-01
7.37,1996-01-01
7.695,1995-12-01
7.54,1995-11-01
7.075,1995-10-01
6.3875,1995-09-01
6.26,1995-08-01
6.105,1995-07-01
6.25,1995-06-01
6.185,1995-05-01
5.915,1995-04-01
6.785,1995-03-01
5.965,1995-02-01
5.74,1995-01-01
5.0,1994-12-01
3.441,1994-11-01
3.438,1994-10-01
3.3955,1994-09-01
3.3885,1994-08-01
3.398,1994-07-01
3.3925,1994-06-01
3.32,1994-05-01
3.265,1994-04-01
3.36,1994-03-01
3.175,1994-02-01
3.105,1994-01-01
3.11,1993-12-01
3.105,1993-11-01
3.13,1993-10-01
3.12,1993-09-01
3.11,1993-08-01
3.115,1993-07-01
3.13,1993-06-01
3.12,1993-05-01
3.11,1993-04-01
3.09,1993-03-01
3.1,1993-02-01
3.11,1993-01-01
3.12,1992-12-01
3.11,1992-11-01
3.12,1992-10-01
3.11,1992-09-01
3.075,1992-08-01
3.11,1992-07-01
3.12,1992-06-01
3.11,1992-05-01
3.08,1992-04-01
3.06,1992-03-01
3.06,1992-02-01
3.065,1992-01-01
